tx,RevokeEncodedAccountKey,GenerateUUID,GetAccountBalance,SetValue,ValueDecoded,ProgramChecked,ProgramParsed,ValueEncoded,ProgramInterpreted,GetProgram,ValueExists,GetStorageUsed,function_or_loop_call,UpdateAccountContractCode,ContractFunctionInvoke,GetValue,EmitEvent,GetStorageCapacity,GetAccountContractCode,GetCode,AllocateStorageIndex,SetProgram,CreateAccount,AddEncodedAccountKey,GetAccountAvailableBalance,ResolveLocation,ms
add and remove key to/from account + copy array from storage,1380,1,0,343,14,1,1,0,5,20,0,3,85476,0,4,2646,2763,3,0,0,0,1,0,1380,0,3,239
create new account,0,877,0,213211,2641,1,1,876,589,2356,876,295,1170,0,588,404762,1755,295,0,0,292,1,292,0,0,3,353
convert int to string + get public account,0,1,0,343,13,1,1,0,5,20,0,3,309352,0,4,2094,3,3,0,0,0,1,0,0,0,3,200
emit event + reference tx,0,1,0,343,14,1,1,0,5,20,0,3,495230,0,4,2251,21176,3,0,0,0,1,0,0,0,3,264
copy array from storage and save a duplicate + load and save long string on signers address,0,1,0,939,16,1,1,2,5,20,0,3,95398,0,4,3201,3,3,0,0,546,1,0,0,0,3,98
convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,973622,0,4,2094,3,3,0,0,0,1,0,0,0,3,353
get public account,0,1,0,343,13,1,1,0,5,20,0,3,204326,0,4,2094,3,3,0,0,0,1,0,0,0,3,148
get signer address + get account and get balance,0,1,313,343,952,1,1,0,318,1585,0,3,418472,0,317,152021,3,3,0,0,0,1,0,0,0,3,289
load and save empty string on signers address + transfer tokens,0,2140,0,571,17,1,1,1,5,20,0,3,334993,0,4,2483,4281,3,0,0,0,1,0,0,0,3,494
copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3,24664,0,4,2646,3,3,0,0,0,1,0,0,0,3,25
get account and get storage capacity + convert int to string and concatenate it,0,1,0,343,1642,1,1,0,548,1649,0,3,114246,0,547,252417,3,546,0,0,0,1,0,0,0,3,226
get account and get storage used + get signer address,0,1,0,343,13,1,1,0,5,20,0,7632,396517,0,4,2094,3,3,0,0,0,1,0,0,0,3,217
emit event + create new account,0,82,0,20026,257,1,1,81,59,236,81,30,28684,0,58,39484,4927,30,0,0,27,1,27,0,0,3,73
add and remove key to/from account + copy array from storage and save a duplicate,1308,1,0,895,15,1,1,1,5,20,0,3,15556,0,4,3198,2619,3,0,0,246,1,0,1308,0,3,346
convert int to string + load and save empty string on signers address,0,1,0,346,14,1,1,1,5,20,0,3,392500,0,4,2138,3,3,0,0,0,1,0,0,0,3,686
get signer address,0,1,0,343,13,1,1,0,5,20,0,3,1060643,0,4,2094,3,3,0,0,0,1,0,0,0,3,347
get signer vault + add and remove key to/from account,246,1,0,343,14,1,1,0,5,20,0,3,58430,0,4,2235,495,3,0,0,0,1,0,246,0,3,115
emit event + get account and get balance,0,1,290,343,884,7,7,0,295,1479,0,3,64434,0,294,141161,10548,3,6,6,0,7,0,0,0,12,209
load and save long string on signers address + create new account,0,49,0,12051,158,1,1,49,37,148,48,19,226628,0,36,24161,99,19,0,0,16,1,16,0,0,3,393
create new account and deploy contract + get signer address,0,67,0,18537,211,23,23,88,93,196,66,25,230291,22,48,32432,157,25,22,22,44,1,22,0,0,3,190
borrow array from storage + convert int to string,0,1,0,343,14,1,1,0,5,20,0,3,473166,0,4,2646,3,3,0,0,0,1,0,0,0,3,192
convert int to string + get account and get balance,0,1,501,343,1516,1,1,0,506,2525,0,3,525032,0,505,242073,3,3,0,0,0,1,0,0,0,3,383
load and save empty string on signers address,0,1,0,346,14,1,1,1,5,20,0,3,358796,0,4,2097,3,3,0,0,0,1,0,0,0,3,281
get signer vault,0,1,0,343,14,1,1,0,5,20,0,3,103378,0,4,2235,3,3,0,0,0,1,0,0,0,3,153
get signer address + copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,73480,0,4,3198,3,3,0,0,138,1,0,0,0,3,31
add key to account,0,1,0,343,13,1,1,0,5,20,0,3,2552,0,4,2094,513,3,0,0,0,1,0,510,0,3,41
get account and get balance,0,1,405,343,1228,1,1,0,410,2045,0,3,1622,0,409,196089,3,3,0,0,0,1,0,0,0,3,157
