tx,RevokeEncodedAccountKey,GenerateUUID,GetAccountBalance,SetValue,ValueDecoded,ProgramChecked,ProgramParsed,ValueEncoded,ProgramInterpreted,GetProgram,ValueExists,GetStorageUsed,function_or_loop_call,UpdateAccountContractCode,ContractFunctionInvoke,GetValue,EmitEvent,GetStorageCapacity,GetAccountContractCode,GetCode,AllocateStorageIndex,SetProgram,CreateAccount,AddEncodedAccountKey,GetAccountAvailableBalance,ResolveLocation,ms
convert int to string and concatenate it + get public account,0,1,0,343,13,7,7,0,5,29,0,3,112879,0,4,2094,3,3,6,6,0,7,0,0,0,12,69
get signer receiver + load and save long string on signers address,0,1,0,387,16,1,1,1,5,20,0,3,195448,0,4,2361,3,3,0,0,0,1,0,0,0,3,298
copy array from storage + convert int to string and concatenate it,0,1,0,343,14,1,1,0,5,20,0,3,305802,0,4,2646,3,3,0,0,0,1,0,0,0,3,192
get signer address,0,1,0,343,13,1,1,0,5,20,0,3,706805,0,4,2094,3,3,0,0,0,1,0,0,0,3,229
reference tx + copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,119412,0,4,3198,3,3,0,0,65,1,0,0,0,3,46
get signer address + emit event,0,1,0,343,14,1,1,0,5,20,0,3,271648,0,4,2251,3552,3,0,0,0,1,0,0,0,3,110
copy array from storage and save a duplicate + load and save empty string on signers address,0,1,0,898,16,1,1,2,5,20,0,3,91120,0,4,3201,3,3,0,0,51,1,0,0,0,3,70
copy array from storage + load and save empty string on signers address,0,1,0,346,15,1,1,1,5,20,0,3,92232,0,4,2690,3,3,0,0,0,1,0,0,0,3,70
load and save long string on signers address + transfer tokens,0,1891,0,612,17,7,7,1,5,29,0,3,146590,0,4,2524,3783,3,6,6,0,7,0,0,0,12,249
get account and get available balance + create new account and deploy contract,0,49,0,13575,1330,23,23,64,460,1330,48,410,1680,16,427,204409,115,19,22,22,32,7,16,0,391,12,140
load and save long string on signers address + get account and get available balance,0,1,0,387,725,1,1,1,242,731,0,240,207946,0,241,111395,3,3,0,0,0,1,0,0,237,3,225
add key to account + copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,10376,0,4,3198,767,3,0,0,252,1,0,764,0,3,74
get account and get available balance + get signer address,0,1,0,343,421,1,1,0,141,428,0,139,468998,0,140,64790,3,3,0,0,0,1,0,0,136,3,229
emit event + convert int to string and concatenate it,0,1,0,343,14,1,1,0,5,20,0,3,372448,0,4,2249,18597,3,0,0,0,1,0,0,0,3,251
transfer tokens,0,2701,0,568,16,1,1,0,5,20,0,3,94502,0,4,2480,5403,3,0,0,0,1,0,0,0,3,284
get signer vault + get public account,0,1,0,343,14,1,1,0,5,20,0,3,71028,0,4,2235,3,3,0,0,0,1,0,0,0,3,88
get account and get balance + convert int to string,0,1,485,343,1468,1,1,0,490,2445,0,3,386332,0,489,234409,3,3,0,0,0,1,0,0,0,3,488
get account and get storage capacity,0,1,0,343,3820,1,1,0,1274,3827,0,3,5078,0,1273,587103,3,1272,0,0,0,1,0,0,0,3,707
emit event + get account and get storage used,0,1,0,343,14,1,1,0,5,20,0,81,6406,0,4,2251,1018,3,0,0,0,1,0,0,0,3,12
get signer vault,0,1,0,343,14,1,1,0,5,20,0,3,232042,0,4,2235,3,3,0,0,0,1,0,0,0,3,347
get signer address + get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,33064,0,4,2358,3,3,0,0,0,1,0,0,0,3,30
get account and get balance + get account and get storage used,0,1,436,343,1321,1,1,0,441,2200,0,10238,42688,0,440,210938,3,3,0,0,0,1,0,0,0,3,296
load and save empty string on signers address + convert int to string and concatenate it,0,1,0,346,14,1,1,1,5,20,0,3,332962,0,4,2138,3,3,0,0,0,1,0,0,0,3,391
create new account and deploy contract + get public account,0,364,0,100409,1102,122,122,484,489,988,363,124,136635,121,246,168953,850,124,121,121,242,1,121,0,0,3,290
emit event + reference tx,0,1,0,343,14,1,1,0,5,20,0,3,150734,0,4,2249,24160,3,0,0,0,1,0,0,0,3,171
get account and get storage used,0,1,0,343,13,1,1,0,5,20,0,18946,75774,0,4,2094,3,3,0,0,0,1,0,0,0,3,257
get signer address + create new account,0,325,0,79075,985,1,1,324,221,884,324,111,236737,0,220,151026,651,111,0,0,108,1,108,0,0,3,218
transfer tokens,0,2933,0,568,16,1,1,0,5,20,0,3,102622,0,4,2480,5867,3,0,0,0,1,0,0,0,3,365
copy array from storage + get signer vault,0,1,0,343,15,1,1,0,5,20,0,3,120062,0,4,2787,3,3,0,0,0,1,0,0,0,3,129
create new account,0,883,0,214669,2659,1,1,882,593,2372,882,297,1178,0,592,407520,1767,297,0,0,294,1,294,0,0,3,361
copy array from storage + create new account,0,214,0,52102,653,1,1,213,147,588,213,74,207924,0,146,100555,429,74,0,0,71,1,71,0,0,3,737
copy array from storage and save a duplicate + copy array from storage,0,1,0,895,15,7,7,1,5,29,0,3,53126,0,4,3198,3,3,6,6,1010,7,0,0,0,12,79
borrow array from storage + convert int to string and concatenate it,0,1,0,343,14,1,1,0,5,20,0,3,367339,0,4,2646,3,3,0,0,0,1,0,0,0,3,279
get account and get storage used + add and remove key to/from account,713,1,0,343,13,1,1,0,5,20,0,14176,61687,0,4,2094,1429,3,0,0,0,1,0,713,0,3,276
add key to account + call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,188999,0,4,2251,1254,3,0,0,0,1,0,1251,0,3,255
mint NFT + get account and get storage used,0,3411,0,683155,17,7,7,0,6,32,0,4488,58860,0,5,6281,3,4,6,6,3498,7,0,0,0,12,693
get account and get balance + reference tx,0,1,51,343,166,7,7,0,56,284,0,3,7670,0,55,26523,3,3,6,6,0,7,0,0,0,12,27
get account and get storage used,0,1,0,343,13,1,1,0,5,20,0,1176,4694,0,4,2094,3,3,0,0,0,1,0,0,0,3,20
convert int to string and concatenate it + reference tx,0,1,0,343,13,1,1,0,5,20,0,3,32237,0,4,2094,3,3,0,0,0,1,0,0,0,3,129
add and remove key to/from account + get account and get available balance,398,1,0,343,109,7,7,0,37,125,0,35,2918,0,36,16846,799,3,6,6,0,7,0,398,32,12,66
call empty contract function + get account and get storage capacity,0,1,0,343,368,1,1,0,123,374,0,3,171068,0,122,56649,3,121,0,0,0,1,0,0,0,3,199
get signer vault,0,1,0,343,14,1,1,0,5,20,0,3,43978,0,4,2235,3,3,0,0,0,1,0,0,0,3,65
get account and get storage used + copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3441,199656,0,4,2646,3,3,0,0,0,1,0,0,0,3,210
borrow array from storage + get signer receiver,0,1,0,343,16,1,1,0,5,20,0,3,76164,0,4,2910,3,3,0,0,0,1,0,0,0,3,525
load and save long string on signers address + get public account,0,1,0,387,14,1,1,1,5,20,0,3,143666,0,4,2138,3,3,0,0,0,1,0,0,0,3,465
borrow array from storage + get account and get storage capacity,0,1,0,343,338,1,1,0,113,344,0,3,11986,0,112,52434,3,111,0,0,0,1,0,0,0,3,85
add and remove key to/from account,2328,1,0,343,13,1,1,0,5,20,0,3,16298,0,4,2094,4659,3,0,0,0,1,0,2328,0,3,301
get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,153896,0,4,2358,3,3,0,0,0,1,0,0,0,3,829
load and save long string on signers address + convert int to string,0,1,0,387,14,7,7,1,5,29,0,3,366864,0,4,2097,3,3,6,6,0,7,0,0,0,12,154
borrow array from storage + get account and get storage capacity,0,1,0,343,2084,1,1,0,695,2090,0,3,65728,0,694,320736,3,693,0,0,0,1,0,0,0,3,301
get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,173882,0,4,2358,3,3,0,0,0,1,0,0,0,3,442
copy array from storage + get signer receiver,0,1,0,343,16,1,1,0,5,20,0,3,161600,0,4,2910,3,3,0,0,0,1,0,0,0,3,545
borrow array from storage + transfer tokens,0,69,0,568,17,1,1,0,5,20,0,3,17828,0,4,3032,139,3,0,0,0,1,0,0,0,3,34
borrow array from storage,0,1,0,343,14,1,1,0,5,20,0,3,176926,0,4,2646,3,3,0,0,0,1,0,0,0,3,233
get account and get available balance + borrow array from storage,0,1,0,343,1604,1,1,0,535,1610,0,533,91686,0,534,246976,3,3,0,0,0,1,0,0,530,3,289
load and save long string on signers address + add and remove key to/from account,1317,1,0,387,14,1,1,1,5,20,0,3,83389,0,4,2138,2637,3,0,0,0,1,0,1317,0,3,219
copy array from storage + get account and get storage capacity,0,1,0,343,1247,1,1,0,416,1253,0,3,91078,0,415,192117,3,414,0,0,0,1,0,0,0,3,205
copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3,272274,0,4,2646,3,3,0,0,0,1,0,0,0,3,782
reference tx,0,1,0,343,13,1,1,0,5,20,0,3,817842,0,4,2094,3,3,0,0,0,1,0,0,0,3,256
get public account + get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,301140,0,4,2358,3,3,0,0,0,1,0,0,0,3,502
get account and get storage used + get signer vault,0,1,0,343,14,1,1,0,5,20,0,7512,146116,0,4,2235,3,3,0,0,0,1,0,0,0,3,272
create new account + get signer address,0,238,0,57934,724,1,1,237,163,652,237,82,127727,0,162,111035,477,82,0,0,79,1,79,0,0,3,144
load and save empty string on signers address,0,1,0,346,14,1,1,1,5,20,0,3,278642,0,4,2097,3,3,0,0,0,1,0,0,0,3,204
get signer address,0,1,0,343,13,1,1,0,5,20,0,3,989504,0,4,2094,3,3,0,0,0,1,0,0,0,3,849
mint NFT,0,9248,0,1845469,17,1,1,0,6,23,0,4,110966,0,5,6176,3,4,0,0,9486,1,0,0,0,3,370
get signer receiver + get account and get balance,0,1,314,343,957,1,1,0,319,1590,0,3,32814,0,318,152764,3,3,0,0,0,1,0,0,0,3,178
convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,51458,0,4,2094,3,3,0,0,0,1,0,0,0,3,23
get account and get storage used + emit event,0,1,0,343,14,1,1,0,5,20,0,4804,177716,0,4,2249,26421,3,0,0,0,1,0,0,0,3,248
convert int to string + create new account and deploy contract,0,232,0,64022,706,78,78,308,313,636,231,80,103459,77,158,108277,542,80,77,77,154,1,77,0,0,3,152
copy array from storage and save a duplicate + get public account,0,1,0,895,15,1,1,1,5,20,0,3,139484,0,4,3198,3,3,0,0,44,1,0,0,0,3,107
convert int to string and concatenate it + get account and get storage capacity,0,1,0,343,1984,1,1,0,662,1991,0,3,158757,0,661,304971,3,660,0,0,0,1,0,0,0,3,267
borrow array from storage,0,1,0,343,14,1,1,0,5,20,0,3,214964,0,4,2646,3,3,0,0,0,1,0,0,0,3,327
convert int to string and concatenate it + copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,338779,0,4,3198,3,3,0,0,350,1,0,0,0,3,175
load and save empty string on signers address + copy array from storage,0,1,0,346,15,1,1,1,5,20,0,3,34126,0,4,2649,3,3,0,0,0,1,0,0,0,3,28
call empty contract function + create new account and deploy contract,0,49,0,13575,158,17,17,64,69,148,48,19,223796,16,36,24315,115,19,16,16,32,1,16,0,0,3,212
get account and get storage capacity + borrow array from storage,0,1,0,343,2228,1,1,0,743,2234,0,3,19016,0,742,342864,3,741,0,0,0,1,0,0,0,3,234
get public account,0,1,0,343,13,1,1,0,5,20,0,3,511706,0,4,2094,3,3,0,0,0,1,0,0,0,3,377
add key to account + load and save empty string on signers address,0,1,0,346,14,1,1,1,5,20,0,3,32764,0,4,2138,837,3,0,0,0,1,0,834,0,3,128
create new account and deploy contract + copy array from storage,0,307,0,84697,932,103,103,408,413,836,306,105,41176,102,208,143304,717,105,102,102,204,1,102,0,0,3,198
get account and get storage capacity + convert int to string,0,1,0,343,769,1,1,0,257,776,0,3,85728,0,256,118266,3,255,0,0,0,1,0,0,0,3,121
get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,69314,0,4,2358,3,3,0,0,0,1,0,0,0,3,141
mint NFT,0,3157,0,633063,17,1,1,0,6,23,0,4,37874,0,5,6768,3,4,0,0,3238,1,0,0,0,3,121
load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,178154,0,4,2097,3,3,0,0,0,1,0,0,0,3,133
mint NFT + emit event,0,2499,0,501073,17,1,1,0,6,23,0,4,77806,0,5,5855,7974,4,0,0,2562,1,0,0,0,3,153
get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,86930,0,4,2358,3,3,0,0,0,1,0,0,0,3,508
add and remove key to/from account + convert int to string and concatenate it,905,1,0,343,13,1,1,0,5,20,0,3,186389,0,4,2094,1813,3,0,0,0,1,0,905,0,3,199
get signer vault + create new account,0,43,0,10549,140,1,1,42,33,132,42,17,130656,0,32,21541,87,17,0,0,14,1,14,0,0,3,212
get signer address,0,1,0,343,13,1,1,0,5,20,0,3,10058,0,4,2094,3,3,0,0,0,1,0,0,0,3,12
add key to account + emit event,0,1,0,343,14,1,1,0,5,20,0,3,55779,0,4,2251,9579,3,0,0,0,1,0,1681,0,3,176
get signer vault + get signer address,0,1,0,343,14,1,1,0,5,20,0,3,198194,0,4,2235,3,3,0,0,0,1,0,0,0,3,82
add key to account,0,1,0,343,13,1,1,0,5,20,0,3,6167,0,4,2094,1236,3,0,0,0,1,0,1233,0,3,95
copy array from storage and save a duplicate + add and remove key to/from account,889,1,0,895,15,1,1,1,5,20,0,3,16341,0,4,3198,1781,3,0,0,389,1,0,889,0,3,131
transfer tokens,0,1421,0,568,16,1,1,0,5,20,0,3,49702,0,4,2480,2843,3,0,0,0,1,0,0,0,3,134
get account and get balance,0,1,849,343,2560,1,1,0,854,4265,0,3,3398,0,853,408765,3,3,0,0,0,1,0,0,0,3,356
load and save long string on signers address + mint NFT,0,2806,0,563218,18,1,1,1,6,23,0,4,45142,0,5,6813,3,4,0,0,2877,1,0,0,0,3,141
get account and get balance + borrow array from storage,0,1,100,343,314,1,1,0,105,520,0,3,154756,0,104,50546,3,3,0,0,0,1,0,0,0,3,276
create new account + get account and get balance,0,433,335,105319,2314,1,1,432,628,2847,432,147,1920,0,627,361135,867,147,0,0,144,1,144,0,0,3,314
emit event,0,1,0,343,14,1,1,0,5,20,0,3,238628,0,4,2251,39774,3,0,0,0,1,0,0,0,3,455
mint NFT,0,2830,0,567954,17,1,1,0,6,23,0,4,33950,0,5,6765,3,4,0,0,2903,1,0,0,0,3,112
copy array from storage and save a duplicate + create new account,0,88,0,22036,276,1,1,88,63,252,87,32,1940,0,62,43189,177,32,0,0,99,1,29,0,0,3,43
emit event,0,1,0,343,14,1,1,0,5,20,0,3,328418,0,4,2251,54739,3,0,0,0,1,0,0,0,3,556
get signer receiver + get account and get storage used,0,1,0,343,15,1,1,0,5,20,0,8539,83522,0,4,2358,3,3,0,0,0,1,0,0,0,3,388
get account and get storage used + call empty contract function,0,1,0,343,14,1,1,0,5,20,0,9027,78220,0,4,2251,3,3,0,0,0,1,0,0,0,3,160
emit event,0,1,0,343,14,1,1,0,5,20,0,3,30650,0,4,2251,5111,3,0,0,0,1,0,0,0,3,36
get signer address,0,1,0,343,13,1,1,0,5,20,0,3,529364,0,4,2094,3,3,0,0,0,1,0,0,0,3,175
emit event + get account and get storage capacity,0,1,0,343,2102,1,1,0,701,2108,0,3,79024,0,700,323107,12709,699,0,0,0,1,0,0,0,3,264
copy array from storage + load and save long string on signers address,0,1,0,387,15,1,1,1,5,20,0,3,244840,0,4,2690,3,3,0,0,0,1,0,0,0,3,213
create new account and deploy contract + emit event,0,265,0,73119,806,95,95,352,357,733,264,91,143540,88,180,123603,24439,91,94,94,176,7,88,0,0,12,296
convert int to string + copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3,327436,0,4,2646,3,3,0,0,0,1,0,0,0,3,221
reference tx + get account and get storage used,0,1,0,343,13,1,1,0,5,20,0,9200,324900,0,4,2094,3,3,0,0,0,1,0,0,0,3,205
transfer tokens,0,3269,0,568,16,1,1,0,5,20,0,3,114382,0,4,2480,6539,3,0,0,0,1,0,0,0,3,306
add key to account + add and remove key to/from account,117,1,0,343,13,1,1,0,5,20,0,3,1488,0,4,2094,370,3,0,0,0,1,0,250,0,3,28
copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3,277092,0,4,2646,3,3,0,0,0,1,0,0,0,3,250
reference tx,0,1,0,343,13,1,1,0,5,20,0,3,403060,0,4,2094,3,3,0,0,0,1,0,0,0,3,126
load and save long string on signers address + add key to account,0,1,0,387,14,1,1,1,5,20,0,3,46738,0,4,2097,1137,3,0,0,0,1,0,1134,0,3,115
call empty contract function + mint NFT,0,152,0,34687,17,1,1,0,6,23,0,4,212712,0,5,6841,3,4,0,0,155,1,0,0,0,3,189
convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,858606,0,4,2094,3,3,0,0,0,1,0,0,0,3,312
get account and get storage used,0,1,0,343,13,1,1,0,5,20,0,11779,47106,0,4,2094,3,3,0,0,0,1,0,0,0,3,158
get public account,0,1,0,343,13,1,1,0,5,20,0,3,23746,0,4,2094,3,3,0,0,0,1,0,0,0,3,19
create new account and deploy contract,0,508,0,139768,1534,170,170,676,681,1372,507,172,1185,169,342,234807,1186,172,169,169,338,1,169,0,0,3,322
transfer tokens,0,3586,0,568,16,1,1,0,5,20,0,3,125477,0,4,2480,7173,3,0,0,0,1,0,0,0,3,332
get account and get storage capacity,0,1,0,343,961,1,1,0,321,968,0,3,1266,0,320,147770,3,319,0,0,0,1,0,0,0,3,90
get account and get balance + call empty contract function,0,1,326,343,992,1,1,0,331,1650,0,3,75436,0,330,158405,3,3,0,0,0,1,0,0,0,3,184
transfer tokens + add key to account,0,830,0,568,16,1,1,0,5,20,0,3,37174,0,4,2480,3292,3,0,0,0,1,0,1631,0,3,215
borrow array from storage + transfer tokens,0,1855,0,568,17,1,1,0,5,20,0,3,145898,0,4,3032,3711,3,0,0,0,1,0,0,0,3,270
add and remove key to/from account + convert int to string and concatenate it,61,1,0,343,13,1,1,0,5,20,0,3,62506,0,4,2094,125,3,0,0,0,1,0,61,0,3,39
convert int to string,0,1,0,343,13,1,1,0,5,20,0,3,504366,0,4,2094,3,3,0,0,0,1,0,0,0,3,184
transfer tokens + add key to account,0,36,0,568,16,1,1,0,5,20,0,3,4154,0,4,2480,658,3,0,0,0,1,0,585,0,3,45
add key to account + call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,62056,0,4,2251,2151,3,0,0,0,1,0,2148,0,3,491
reference tx + copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3,401044,0,4,2646,3,3,0,0,0,1,0,0,0,3,168
copy array from storage + emit event,0,1,0,343,15,1,1,0,5,20,0,3,123560,0,4,2803,9152,3,0,0,0,1,0,0,0,3,138
load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,292934,0,4,2097,3,3,0,0,0,1,0,0,0,3,215
convert int to string and concatenate it + get account and get balance,0,1,520,343,1573,1,1,0,525,2620,0,3,233294,0,524,251174,3,3,0,0,0,1,0,0,0,3,297
call empty contract function + transfer tokens,0,701,0,568,17,1,1,0,5,20,0,3,248760,0,4,2637,1403,3,0,0,0,1,0,0,0,3,276
get account and get storage capacity + get signer vault,0,1,0,343,698,1,1,0,233,704,0,3,53260,0,232,107343,3,231,0,0,0,1,0,0,0,3,165
mint NFT + reference tx,0,143,0,32045,17,1,1,0,6,23,0,4,323288,0,5,5981,3,4,0,0,146,1,0,0,0,3,105
transfer tokens + convert int to string and concatenate it,0,869,0,568,16,1,1,0,5,20,0,3,169359,0,4,2480,1739,3,0,0,0,1,0,0,0,3,288
emit event + get signer address,0,1,0,343,14,1,1,0,5,20,0,3,42091,0,4,2249,3938,3,0,0,0,1,0,0,0,3,43
copy array from storage and save a duplicate + reference tx,0,1,0,895,15,1,1,1,5,20,0,3,559536,0,4,3198,3,3,0,0,7,1,0,0,0,3,215
load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,413564,0,4,2097,3,3,0,0,0,1,0,0,0,3,301
get account and get available balance + get account and get storage capacity,0,1,0,343,2452,1,1,0,818,2459,0,430,3256,0,817,376887,3,389,0,0,0,1,0,0,427,3,394
get signer address,0,1,0,343,13,1,1,0,5,20,0,3,108398,0,4,2094,3,3,0,0,0,1,0,0,0,3,37
copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,14822,0,4,3198,3,3,0,0,570,1,0,0,0,3,29
copy array from storage and save a duplicate + call empty contract function,0,1,0,895,16,1,1,1,5,20,0,3,205388,0,4,3355,3,3,0,0,174,1,0,0,0,3,183
add and remove key to/from account,2077,1,0,343,13,1,1,0,5,20,0,3,14541,0,4,2094,4157,3,0,0,0,1,0,2077,0,3,351
add key to account + copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,77369,0,4,3198,110,3,0,0,2955,1,0,107,0,3,198
add and remove key to/from account + get public account,1068,1,0,343,13,1,1,0,5,20,0,3,170952,0,4,2094,2139,3,0,0,0,1,0,1068,0,3,284
create new account + get account and get balance,0,202,124,49186,988,7,7,201,263,1185,201,70,768,0,262,153883,405,70,6,6,67,7,67,0,0,12,162
emit event + add key to account,0,1,0,343,14,1,1,0,5,20,0,3,26323,0,4,2251,4722,3,0,0,0,1,0,1995,0,3,179
load and save empty string on signers address + copy array from storage,0,1,0,346,15,1,1,1,5,20,0,3,140870,0,4,2649,3,3,0,0,0,1,0,0,0,3,109
create new account + get signer address,0,337,0,81991,1021,1,1,336,229,916,336,115,132656,0,228,156542,675,115,0,0,112,1,112,0,0,3,183
load and save long string on signers address + get account and get available balance,0,1,0,387,1892,1,1,1,631,1898,0,629,61494,0,630,290724,3,3,0,0,0,1,0,0,626,3,254
convert int to string and concatenate it,0,1,0,343,13,1,1,0,5,20,0,3,171227,0,4,2094,3,3,0,0,0,1,0,0,0,3,83
add key to account,0,1,0,343,13,1,1,0,5,20,0,3,12422,0,4,2094,2487,3,0,0,0,1,0,2484,0,3,189
transfer tokens,0,1582,0,568,16,1,1,0,5,20,0,3,55337,0,4,2480,3165,3,0,0,0,1,0,0,0,3,143
get account and get storage capacity + load and save long string on signers address,0,1,0,387,1442,1,1,1,481,1448,0,3,20658,0,480,221533,3,479,0,0,0,1,0,0,0,3,140
load and save empty string on signers address + get signer address,0,1,0,346,14,1,1,1,5,20,0,3,490102,0,4,2138,3,3,0,0,0,1,0,0,0,3,261
borrow array from storage,0,1,0,343,14,7,7,0,5,29,0,3,100432,0,4,2646,3,3,6,6,0,7,0,0,0,12,134
create new account and deploy contract + convert int to string and concatenate it,0,412,0,113641,1246,138,138,548,553,1116,411,140,179933,137,278,191017,962,140,137,137,274,1,137,0,0,3,300
mint NFT + copy array from storage,0,4490,0,897840,18,1,1,0,6,23,0,4,71318,0,5,6650,3,4,0,0,4605,1,0,0,0,3,198
get account and get balance + add key to account,0,1,361,343,1096,1,1,0,366,1825,0,3,11958,0,365,175013,2105,3,0,0,0,1,0,2102,0,3,302
create new account + add key to account,0,376,0,91468,1138,1,1,375,255,1020,375,128,2364,0,254,174469,1125,128,0,0,125,1,125,372,0,3,180
convert int to string and concatenate it + transfer tokens,0,1356,0,568,16,1,1,0,5,20,0,3,117534,0,4,2480,2713,3,0,0,0,1,0,0,0,3,185
get signer receiver + load and save long string on signers address,0,1,0,387,16,1,1,1,5,20,0,3,194032,0,4,2402,3,3,0,0,0,1,0,0,0,3,341
get signer receiver + call empty contract function,0,1,0,343,16,1,1,0,5,20,0,3,210390,0,4,2515,3,3,0,0,0,1,0,0,0,3,261
get account and get storage capacity,0,1,0,343,1444,1,1,0,482,1451,0,3,1910,0,481,221991,3,480,0,0,0,1,0,0,0,3,124
get account and get balance + get public account,0,1,47,343,154,1,1,0,52,255,0,3,248,0,51,24607,3,3,0,0,0,1,0,0,0,3,25
emit event,0,1,0,343,14,1,1,0,5,20,0,3,337040,0,4,2251,56176,3,0,0,0,1,0,0,0,3,497
get signer address + convert int to string and concatenate it,0,1,0,343,13,1,1,0,5,20,0,3,413116,0,4,2094,3,3,0,0,0,1,0,0,0,3,160
reference tx + get account and get balance,0,1,226,343,691,1,1,0,231,1150,0,3,163506,0,230,110348,3,3,0,0,0,1,0,0,0,3,131
emit event + add and remove key to/from account,1323,1,0,343,14,1,1,0,5,20,0,3,152461,0,4,2249,26515,3,0,0,0,1,0,1323,0,3,794
add and remove key to/from account + get public account,320,1,0,343,13,1,1,0,5,20,0,3,124848,0,4,2094,643,3,0,0,0,1,0,320,0,3,160
transfer tokens + copy array from storage and save a duplicate,0,1153,0,1120,18,1,1,1,5,20,0,3,43678,0,4,3584,2307,3,0,0,129,1,0,0,0,3,223
convert int to string + get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,418702,0,4,2358,3,3,0,0,0,1,0,0,0,3,200
load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,478904,0,4,2097,3,3,0,0,0,1,0,0,0,3,539
mint NFT,0,3125,0,626555,17,1,1,0,6,23,0,4,37490,0,5,6669,3,4,0,0,3204,1,0,0,0,3,143
get public account + reference tx,0,1,0,343,13,1,1,0,5,20,0,3,401158,0,4,2094,3,3,0,0,0,1,0,0,0,3,234
convert int to string and concatenate it,0,1,0,343,13,1,1,0,5,20,0,3,268657,0,4,2094,3,3,0,0,0,1,0,0,0,3,171
add key to account + call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,154128,0,4,2251,2199,3,0,0,0,1,0,2196,0,3,293
get signer vault + load and save empty string on signers address,0,1,0,346,15,1,1,1,5,20,0,3,186692,0,4,2238,3,3,0,0,0,1,0,0,0,3,185
get account and get balance + reference tx,0,1,515,343,1558,1,1,0,520,2595,0,3,216022,0,519,248779,3,3,0,0,0,1,0,0,0,3,270
get signer vault,0,1,0,343,14,1,1,0,5,20,0,3,100022,0,4,2235,3,3,0,0,0,1,0,0,0,3,151
call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,456334,0,4,2251,3,3,0,0,0,1,0,0,0,3,388
get signer vault + load and save empty string on signers address,0,1,0,346,15,1,1,1,5,20,0,3,210668,0,4,2238,3,3,0,0,0,1,0,0,0,3,226
load and save empty string on signers address,0,1,0,346,14,1,1,1,5,20,0,3,60818,0,4,2097,3,3,0,0,0,1,0,0,0,3,46
get public account,0,1,0,343,13,1,1,0,5,20,0,3,84386,0,4,2094,3,3,0,0,0,1,0,0,0,3,113
copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3,22024,0,4,2646,3,3,0,0,0,1,0,0,0,3,25
add key to account,0,1,0,343,13,1,1,0,5,20,0,3,7572,0,4,2094,1517,3,0,0,0,1,0,1514,0,3,115
get signer receiver,0,1,0,343,15,1,1,0,5,20,0,3,150368,0,4,2358,3,3,0,0,0,1,0,0,0,3,550
borrow array from storage + mint NFT,0,4047,0,810132,18,1,1,0,6,23,0,4,50756,0,5,7134,3,4,0,0,4151,1,0,0,0,3,167
load and save empty string on signers address + get public account,0,1,0,346,14,1,1,1,5,20,0,3,290100,0,4,2138,3,3,0,0,0,1,0,0,0,3,313
convert int to string + get account and get balance,0,1,279,343,850,1,1,0,284,1415,0,3,48728,0,283,135735,3,3,0,0,0,1,0,0,0,3,121
borrow array from storage + get signer vault,0,1,0,343,15,1,1,0,5,20,0,3,172398,0,4,2787,3,3,0,0,0,1,0,0,0,3,511
copy array from storage and save a duplicate,0,1,0,895,15,1,1,1,5,20,0,3,9206,0,4,3198,3,3,0,0,354,1,0,0,0,3,17
add and remove key to/from account + create new account and deploy contract,829,235,0,64849,715,79,79,312,317,644,234,81,6353,78,160,109656,2207,81,78,78,156,1,78,829,0,3,219
emit event,0,1,0,343,14,1,1,0,5,20,0,3,318104,0,4,2251,53020,3,0,0,0,1,0,0,0,3,383
transfer tokens + get signer vault,0,175,0,568,16,1,1,0,5,20,0,3,29550,0,4,2480,351,3,0,0,0,1,0,0,0,3,125
emit event + get signer vault,0,1,0,343,15,1,1,0,5,20,0,3,156208,0,4,2392,19339,3,0,0,0,1,0,0,0,3,198
