tx,1003,2025,2018,2027,2015,1010,1026,2008,2005,1011,2006,2007,2020,2011,2024,1012,1002,2022,2004,2017,1001,2026,2009,2010,2019,1025,x
create new account and deploy contract + add and remove key to/from account,1083,1611,0,89,1699,89,23149,0,178,0,89,722,108927,1699,272,0,361,539,272,542,1087,14685,0,0,0,722,452
load and save empty string on signers address,114012,9,0,0,8,0,0,0,0,0,0,0,3468,8,0,0,57006,5,0,8,171020,1148,0,0,0,0,446
get account and get storage capacity,1210,1461,242,0,1460,0,0,0,0,0,0,0,553104,1460,0,0,242,489,0,1218,1212,0,0,0,0,0,94
emit event,14410,9,0,0,8,7205,0,0,0,0,0,7205,2533,8,0,0,7205,5,0,8,21617,0,0,0,0,0,59
get account and get balance + add and remove key to/from account,3741,6127,0,0,6126,0,67525,0,0,0,0,1850,740336,6126,925,0,1247,3225,925,4838,4067,0,0,322,0,1850,323
get account and get storage used + emit event,8659,9,0,0,8,397,0,0,0,0,0,397,2615,8,0,0,8262,5,0,8,16925,0,0,0,7865,0,111
create new account + get signer receiver,22887,1413,0,0,1412,0,0,0,0,0,78,78,3932,1412,0,0,7681,473,0,476,15366,0,0,0,0,0,381
get signer vault,1978,9,0,0,8,0,0,0,0,0,0,0,3590,8,0,0,1978,5,0,8,3958,0,0,0,0,0,24
add key to account + get signer receiver,8873,9,0,0,8,0,22630,0,0,0,0,310,3932,8,0,0,3061,5,310,8,6126,0,0,0,0,310,75
copy array from storage and save a duplicate + get account and get storage used,15177,9,0,0,8,0,7600,0,304,0,0,0,4534,8,0,0,16089,5,0,8,33702,1681,0,0,14265,0,977
borrow array from storage + mint NFT,14579,9,0,0,8,3162,0,3162,3243,9486,0,0,7086,8,0,0,14748,5,0,8,51103,626363,0,0,0,0,301
create new account and deploy contract,282,1701,0,94,1794,94,3478,0,188,0,94,188,114912,1794,0,0,94,569,0,572,284,15510,0,0,0,188,248
get account and get storage used + mint NFT,18816,9,0,0,8,3583,0,3583,3675,10749,0,0,5842,8,0,0,8067,5,0,8,34053,709720,0,0,4484,0,233
get signer address + reference tx,0,9,0,0,8,0,0,0,0,0,0,0,2394,8,0,0,209235,5,0,8,293991,0,0,0,0,0,246
copy array from storage and save a duplicate + emit event,8901,9,0,0,8,4098,5875,0,235,0,0,4098,4878,8,0,0,5508,5,0,8,16293,1722,0,0,0,0,90
