tx,TransferCompositeValue,GetCode,GetAccountAvailableBalance,GetValue,GetStorageUsed,RLPDecoding,AllocateStorageIndex,DestroyCompositeValue,TransferArrayValue,GetCurrentBlockHeight,EmitEvent,EncodeValue,CreateAccount,EncodeEvent,GetAccountBalance,UpdateAccountContractCode,EVMGasUsage,Statement,CreateArrayValue,GetBlockAtHeight,GetStorageCapacity,CreateCompositeValue,AddEncodedAccountKey,RevokeEncodedAccountKey,GetAccountContractCode,TransferDictionaryValue,FunctionInvocation,ResolveLocation,GetOrLoadProgram,SetValue,CreateDictionaryValue,GenerateUUID,Loop,estimated,ms
create new account and deploy contract + borrow array from storage,0,652,0,1253775,0,0,1156,0,21386,0,129472,49708,578,1156,0,578,0,98008,1156,0,0,578,0,0,652,0,8152,69,78,95367,0,0,39086,145246,441
get account and get available balance + create new account and deploy contract,0,929,1697,6488603,1697,0,1712,0,31672,0,191744,73616,856,1712,0,856,0,31421,1712,0,0,856,0,0,929,0,22932,65,11953,141236,0,0,2553,56906,730
transfer tokens + get account and get storage used,2820,37,0,1913,957,0,0,940,0,0,174840,67,0,1880,0,0,0,23538,0,0,0,2820,0,0,37,0,11297,35,44,122,0,940,1897,36732,196
decode hex + emit event,0,37,0,221,0,0,0,0,0,0,695970,0,0,12210,0,0,0,39294,1330,0,0,12210,0,0,37,0,25750,35,44,0,0,0,13540,78584,52
decode hex + convert int to string and concatenate it,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31192,6534,0,0,0,0,0,37,0,24654,35,44,0,0,0,15594,71440,49
copy array from storage + transfer tokens,6186,37,0,2446,0,0,0,2062,23640,0,383532,67,0,4124,0,0,0,82890,0,0,0,6186,0,0,37,0,25046,35,44,122,0,2062,16246,124182,146
reference tx + emit event,0,37,0,223,0,0,0,0,0,0,859389,0,0,15077,0,0,0,57811,0,0,0,15077,0,0,37,0,30154,35,44,0,0,0,27653,115618,88
copy array from storage and save a duplicate,0,37,0,2793,0,0,1573,0,39320,0,0,1585,0,0,0,0,0,26743,0,0,0,0,0,0,37,0,4719,35,44,1608,0,0,9438,40900,35
create and destroy EVM bridged account + emit event,13810,37,0,56118,0,0,0,6905,414300,0,189468,0,0,3324,0,0,0,44501,6905,0,0,10229,0,0,37,0,27363,35,44,55240,0,6905,10229,82093,139
mint NFT + create and destroy EVM bridged account,7019,37,0,5512,0,0,2336,94,5640,0,0,327591,0,0,0,0,0,16413,94,0,0,2371,0,0,37,0,9390,35,44,462791,0,2371,2371,28174,47
add key to account,0,37,0,0,0,0,0,0,301928,0,880968,0,0,4136,0,0,0,8274,4136,0,0,0,4136,0,37,0,8272,35,44,0,0,0,4136,20682,136
load and save empty string on signers address + get account and get available balance,0,37,841,2298106,841,0,0,0,0,0,0,1271,0,0,0,0,0,35829,0,0,0,0,0,0,37,0,24444,35,5931,1286,0,0,8017,68290,508
convert int to string + get account and get storage capacity,0,37,0,5423040,0,0,0,0,0,0,0,0,0,0,0,0,0,26776,0,0,2016,0,0,0,37,0,18426,35,14156,0,0,0,6330,51532,227
create and destroy EVM bridged account + add and remove key to/from account,1050,37,0,4857,0,0,0,525,236849,0,1212403,0,0,5626,0,0,0,11068,6151,0,0,525,2813,2813,37,0,10014,35,44,4200,0,525,3338,24420,115
mint NFT + copy array from storage and save a duplicate,1650,37,0,6115,0,0,976,0,10300,0,0,82330,0,0,0,0,0,10858,0,0,0,550,0,0,37,0,3436,35,44,114908,0,550,3022,17316,34
create new account,0,73,0,0,0,0,0,0,0,0,40315,0,733,733,0,0,0,1468,0,0,0,0,0,0,73,0,733,65,74,0,0,0,733,2934,271
emit event + copy array from storage and save a duplicate,0,37,0,3624,0,0,6004,0,150100,0,934857,1585,0,16401,0,0,0,151275,0,0,0,16401,0,0,37,0,50814,35,44,1608,0,0,52425,254514,188
convert int to string + get account and get storage used,0,37,0,0,2945,0,0,0,0,0,0,0,0,0,0,0,0,12224,0,0,0,0,0,0,37,0,6110,35,44,0,0,0,6110,24444,10
create new account,0,73,0,0,0,0,0,0,0,0,4895,0,89,89,0,0,0,180,0,0,0,0,0,0,73,0,89,65,74,0,0,0,89,358,29
reference tx + load and save long string on signers address,0,37,0,1335,0,0,0,0,0,0,0,1312,0,0,0,0,0,16669,0,0,0,0,0,0,37,0,7896,35,44,1327,0,0,8769,33334,14
create and destroy EVM bridged account,7360,37,0,30097,0,0,0,3680,220800,0,0,0,0,0,0,0,0,18402,3680,0,0,3680,0,0,37,0,11040,35,44,29440,0,3680,3680,33122,75
decode hex + get account and get storage capacity,0,37,0,4506150,0,0,0,0,0,0,0,0,0,0,0,0,0,32632,8889,0,1650,0,0,0,37,0,20439,35,11594,0,0,0,10539,63610,699
add and remove key to/from account,0,37,0,0,0,0,0,0,85410,0,504270,0,0,2340,0,0,0,3512,2340,0,0,0,1170,1170,37,0,3510,35,44,0,0,0,1170,8192,49
emit event,0,37,0,221,0,0,0,0,0,0,173622,0,0,3046,0,0,0,9140,0,0,0,3046,0,0,37,0,6092,35,44,0,0,0,3046,18278,16
add key to account + add and remove key to/from account,0,37,0,0,0,0,0,0,627800,0,2488852,0,0,11614,0,0,0,20218,11614,0,0,0,8600,3014,37,0,20214,35,44,0,0,0,8600,49032,281
get signer receiver + mint NFT,1695,37,0,4726,0,0,579,0,0,0,0,82918,0,0,0,0,0,9315,0,0,0,565,0,0,37,0,10294,35,44,116358,0,565,3243,22852,34
get signer vault,0,37,0,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,0,0,0,0,0,0,37,0,7832,35,44,0,0,0,7832,31330,31
mint NFT + transfer tokens,25794,37,0,5586,0,0,5948,2800,0,0,520800,827692,0,5600,0,0,0,104990,0,0,0,14198,0,0,37,0,53992,35,44,1169934,0,8598,8598,167580,302
call empty contract function,0,37,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,15294,0,0,0,0,0,0,37,0,7646,35,44,0,0,0,7646,30586,12
create new account + get public account,0,73,0,0,0,0,0,0,0,0,53460,0,972,972,0,0,0,23386,0,0,0,0,0,0,73,0,11691,65,74,0,0,0,11691,46768,374
get signer vault + create new account,0,74,0,1457,0,0,0,0,0,0,32615,0,593,593,0,0,0,3948,0,0,0,0,0,0,74,0,1972,69,78,0,0,0,1972,7892,226
get account and get balance,0,74,0,3735920,0,0,0,0,0,0,0,0,0,0,1360,0,0,8162,0,0,0,0,0,0,74,0,4080,69,12318,0,0,0,1360,13602,208
mint NFT + create new account,13851,73,0,3255,0,0,4736,0,0,0,62095,659349,1129,1129,0,0,0,34581,0,0,0,4617,0,0,73,0,19597,65,74,931857,0,4617,5746,59924,1242
decode hex,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22620,11309,0,0,0,0,0,37,0,11309,35,44,0,0,0,11309,45238,61
convert int to string and concatenate it,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,0,0,0,0,0,0,37,0,1996,35,44,0,0,0,998,4992,2
reference tx + copy array from storage and save a duplicate,0,37,0,3360,0,0,940,0,23500,0,0,1585,0,0,0,0,0,16304,0,0,0,0,0,0,37,0,2820,35,44,1608,0,0,5960,25084,22
load and save empty string on signers address + create and destroy EVM bridged account,54,37,0,2167,0,0,0,27,1620,0,0,1271,0,0,0,0,0,222895,27,0,0,27,0,0,37,0,148585,35,44,1502,0,27,74279,445759,229
get signer vault + get account and get storage capacity,0,37,0,7052899,0,0,0,0,0,0,0,0,0,0,0,0,0,32526,0,0,2582,0,0,0,37,0,22716,35,18118,0,0,0,7224,62466,332
copy array from storage + transfer tokens to EVM address,224,37,0,49264,0,12097,0,1,41034,0,97010,0,0,222,0,0,2331000,5640,112,0,0,112,0,0,37,0,904,35,44,39191,0,1,2076,8620,19
create new account,0,73,0,0,0,0,0,0,0,0,64900,0,1180,1180,0,0,0,2362,0,0,0,0,0,0,73,0,1180,65,74,0,0,0,1180,4722,401
get signer address + get account and get storage used,0,37,0,0,1281,0,0,0,0,0,0,0,0,0,0,0,0,10230,0,0,0,0,0,0,37,0,1281,35,44,0,0,0,5113,16624,6
get account and get available balance + add key to account,0,37,1530,4178430,1530,0,0,0,298570,0,871170,0,0,4090,0,0,0,34194,4090,0,0,0,4090,0,37,0,26540,35,10754,0,0,0,5620,66354,283
add key to account + get account and get storage capacity,0,37,0,3471101,0,0,0,0,225935,0,659235,0,0,3095,0,0,0,17633,3095,0,1271,0,3095,0,37,0,15087,35,8941,0,0,0,4366,37086,462
convert int to string and concatenate it + get signer receiver,0,37,0,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,6570,0,0,0,0,0,0,37,0,6728,35,44,0,0,0,3283,16581,12
transfer tokens to EVM address + decode hex,452,37,0,95615,0,24522,0,1,76104,0,196644,0,0,450,0,0,4725000,9862,4704,0,0,226,0,0,37,0,5606,35,44,79658,0,1,4478,19946,54
transfer tokens to EVM address,3732,37,0,785830,0,203267,0,1,630394,0,1629974,0,0,3730,0,0,39165000,7464,1866,0,0,1866,0,0,37,0,9328,35,44,658353,0,1,0,16792,255
load and save empty string on signers address,0,37,0,1294,0,0,0,0,0,0,0,1271,0,0,0,0,0,23021,0,0,0,0,0,0,37,0,15346,35,44,1286,0,0,7673,46040,33
load and save long string on signers address + get public account,0,37,0,1335,0,0,0,0,0,0,0,1312,0,0,0,0,0,6320,0,0,0,0,0,0,37,0,3677,35,44,1327,0,0,2639,12636,12
load and save empty string on signers address + copy array from storage and save a duplicate,0,37,0,3401,0,0,1396,0,34900,0,0,2796,0,0,0,0,0,24960,0,0,0,0,0,0,37,0,5004,35,44,2819,0,0,8784,38748,36
convert int to string and concatenate it + mint NFT,2061,37,0,3131,0,0,705,0,0,0,0,100618,0,0,0,0,0,9195,0,0,0,687,0,0,37,0,7130,35,44,141256,0,687,2878,19203,18
get account and get balance + borrow array from storage,0,74,0,6807417,0,0,0,0,0,0,0,0,0,0,2515,0,0,46009,0,0,0,0,0,0,74,0,9606,69,22713,0,0,0,14881,70496,383
convert int to string and concatenate it + convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13148,0,0,0,0,0,0,37,0,9771,35,44,0,0,0,6572,29491,23
transfer tokens to EVM address + get public account,1968,37,0,414508,0,107132,0,1,332284,0,859112,0,0,1966,0,0,20643000,6294,984,0,0,984,0,0,37,0,6096,35,44,347007,0,1,1178,13568,131
add and remove key to/from account + get signer address,0,37,0,0,0,0,0,0,141109,0,833123,0,0,3866,0,0,0,32363,3866,0,0,0,1933,1933,37,0,5799,35,44,0,0,0,15213,53375,78
load and save long string on signers address + convert int to string,0,37,0,1273,0,0,0,0,0,0,0,1312,0,0,0,0,0,34603,0,0,0,0,0,0,37,0,20748,35,44,1327,0,0,13851,69202,30
add key to account,0,37,0,0,0,0,0,0,246667,0,719727,0,0,3379,0,0,0,6760,3379,0,0,0,3379,0,37,0,6758,35,44,0,0,0,3379,16897,100
add and remove key to/from account,0,37,0,0,0,0,0,0,153519,0,906393,0,0,4206,0,0,0,6311,4206,0,0,0,2103,2103,37,0,6309,35,44,0,0,0,2103,14723,119
mint NFT + load and save empty string on signers address,4188,37,0,3890,0,0,1432,0,0,0,0,202075,0,0,0,0,0,26597,0,0,0,1396,0,0,37,0,16798,35,44,284559,0,1396,7003,50398,44
get public account,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722,0,0,0,0,0,0,37,0,860,35,44,0,0,0,860,3442,7
get account and get storage capacity + get signer address,0,37,0,6829910,0,0,0,0,0,0,0,0,0,0,0,0,0,47749,0,0,2539,0,0,0,37,0,17773,35,17817,0,0,0,14986,80508,332
borrow array from storage + get account and get balance,0,74,0,2757109,0,0,0,0,0,0,0,0,0,0,1003,0,0,71617,0,0,0,0,0,0,74,0,7382,69,9105,0,0,0,27241,106240,203
get public account,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17362,0,0,0,0,0,0,37,0,8680,35,44,0,0,0,8680,34722,13
copy array from storage + reference tx,0,37,0,1868,0,0,0,0,119010,0,0,0,0,0,0,0,0,191493,0,0,0,0,0,0,37,0,11901,35,44,0,0,0,84380,287774,135
get account and get balance + borrow array from storage,0,74,0,787510,0,0,0,0,0,0,0,0,0,0,286,0,0,11035,0,0,0,0,0,0,74,0,1479,69,2652,0,0,0,4012,16526,76
mint NFT + load and save long string on signers address,4032,37,0,3476,0,0,1378,0,0,0,0,194321,0,0,0,0,0,10204,0,0,0,1344,0,0,37,0,5904,35,44,273737,0,1344,1608,17716,32
call empty contract function,0,37,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,24476,0,0,0,0,0,0,37,0,12237,35,44,0,0,0,12237,48950,23
decode hex + convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45562,14587,0,0,0,0,0,37,0,22779,35,44,0,0,0,22779,91120,77
call empty contract function + get account and get storage used,0,37,0,223,8515,0,0,0,0,0,0,0,0,0,0,0,0,58504,0,0,0,0,0,0,37,0,29250,35,44,0,0,0,29250,117004,48
get signer address + create new account and deploy contract,0,505,0,906336,0,0,864,0,15984,0,96768,37152,432,864,0,432,0,38884,864,0,0,432,0,0,505,0,1296,65,74,71278,0,0,19224,59404,231
load and save empty string on signers address + create and destroy EVM bridged account,26542,37,0,108160,0,0,0,13271,796260,0,0,1271,0,0,0,0,0,74633,13271,0,0,13271,0,0,37,0,45329,35,44,107454,0,13271,16029,135991,209
convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11382,0,0,0,0,0,0,37,0,5690,35,44,0,0,0,5690,22762,6
call empty contract function,0,37,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,176684,0,0,0,0,0,0,37,0,88341,35,44,0,0,0,88341,353366,142
get account and get available balance + get signer address,0,37,676,1846156,676,0,0,0,0,0,0,0,0,0,0,0,0,24308,0,0,0,0,0,0,37,0,8112,35,4776,0,0,0,7082,39502,85
convert int to string and concatenate it + get account and get available balance,0,37,1921,5246251,1921,0,0,0,0,0,0,0,0,0,0,0,0,67135,0,0,0,0,0,0,37,0,57526,35,13491,0,0,0,19158,143819,262
call empty contract function + reference tx,0,37,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,25760,0,0,0,0,0,0,37,0,8801,35,44,0,0,0,16955,51516,26
get signer vault,0,37,0,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,37,0,180,35,44,0,0,0,180,722,1
get public account,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25762,0,0,0,0,0,0,37,0,12880,35,44,0,0,0,12880,51522,18
convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16448,0,0,0,0,0,0,37,0,8223,35,44,0,0,0,8223,32894,12
reference tx,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2254,0,0,0,0,0,0,37,0,0,35,44,0,0,0,2252,4506,1
copy array from storage,0,37,0,1827,0,0,0,0,8800,0,0,0,0,0,0,0,0,13202,0,0,0,0,0,0,37,0,880,35,44,0,0,0,5280,19362,11
create and destroy EVM bridged account,9452,37,0,38465,0,0,0,4726,283560,0,0,0,0,0,0,0,0,23632,4726,0,0,4726,0,0,37,0,14178,35,44,37808,0,4726,4726,42536,78
get account and get available balance + get public account,0,37,361,985891,361,0,0,0,0,0,0,0,0,0,0,0,0,18513,0,0,0,0,0,0,37,0,10518,35,2571,0,0,0,6547,35578,63
mint NFT + emit event,33480,37,0,3931,0,0,11449,0,0,0,671346,1612456,0,11778,0,0,0,113458,0,0,0,22938,0,0,37,0,68196,35,44,2271001,0,11160,22938,204592,278
get account and get available balance + call empty contract function,0,37,382,1043463,382,0,0,0,0,0,0,0,0,0,0,0,0,19918,0,0,0,0,0,0,37,0,11294,35,2718,0,0,0,7092,38304,71
convert int to string and concatenate it + get public account,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15386,0,0,0,0,0,0,37,0,10551,35,44,0,0,0,7691,33628,11
get signer address,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9106,0,0,0,0,0,0,37,0,0,35,44,0,0,0,4552,13658,7
decode hex,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2826,1412,0,0,0,0,0,37,0,1412,35,44,0,0,0,1412,5650,11
get account and get available balance,0,37,1663,4473470,1663,0,0,0,0,0,0,0,0,0,0,0,0,28273,0,0,0,0,0,0,37,0,19956,35,11685,0,0,0,1663,49892,216
transfer tokens to EVM address,690,37,0,145833,0,37490,0,1,116320,0,300644,0,0,688,0,0,7224000,1380,345,0,0,345,0,0,37,0,1723,35,44,121784,0,1,0,3103,44
copy array from storage and save a duplicate + emit event,0,37,0,3622,0,0,4001,0,100025,0,621756,1585,0,10908,0,0,0,100745,0,0,0,10908,0,0,37,0,33819,35,44,1608,0,0,34914,169478,149
copy array from storage + copy array from storage and save a duplicate,0,37,0,2793,0,0,390,0,142545,0,0,1585,0,0,0,0,0,205834,0,0,0,0,0,0,37,0,14450,35,44,1608,0,0,82020,302304,165
get account and get storage used + get account and get balance,0,74,0,3362328,1822,0,0,0,0,0,0,0,0,0,1224,0,0,10992,0,0,0,0,0,0,74,0,5494,69,11094,0,0,0,3046,19532,167
decode hex,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16256,8127,0,0,0,0,0,37,0,8127,35,44,0,0,0,8127,32510,150
create new account + convert int to string,0,73,0,0,0,0,0,0,0,0,8305,0,151,151,0,0,0,758,0,0,0,0,0,0,73,0,377,65,74,0,0,0,377,1512,58
convert int to string + emit event,0,37,0,221,0,0,0,0,0,0,796404,0,0,13972,0,0,0,52128,0,0,0,13972,0,0,37,0,33048,35,44,0,0,0,19076,104252,58
get account and get storage used + reference tx,0,37,0,0,12736,0,0,0,0,0,0,0,0,0,0,0,0,30780,0,0,0,0,0,0,37,0,12736,35,44,0,0,0,18040,61556,40
create and destroy EVM bridged account,4902,37,0,20257,0,0,0,2451,147060,0,0,0,0,0,0,0,0,12257,2451,0,0,2451,0,0,37,0,7353,35,44,19608,0,2451,2451,22061,51
call empty contract function,0,37,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,2614,0,0,0,0,0,0,37,0,1306,35,44,0,0,0,1306,5226,2
convert int to string + call empty contract function,0,37,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,23938,0,0,0,0,0,0,37,0,11967,35,44,0,0,0,11967,47872,14
get signer receiver + copy array from storage,0,37,0,2487,0,0,0,0,39280,0,0,0,0,0,0,0,0,63198,0,0,0,0,0,0,37,0,10339,35,44,0,0,0,25705,99242,93
transfer tokens + load and save empty string on signers address,10281,37,0,1954,0,0,0,3427,0,0,637422,1338,0,6854,0,0,0,118791,0,0,0,10281,0,0,37,0,64341,35,44,1408,0,3427,16749,199881,244
convert int to string + call empty contract function,0,37,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,1772,0,0,0,0,0,0,37,0,884,35,44,0,0,0,884,3540,1
reference tx + get account and get storage capacity,0,37,0,5826540,0,0,0,0,0,0,0,0,0,0,0,0,0,20863,0,0,2166,0,0,0,37,0,15162,35,15206,0,0,0,3531,39556,266
decode hex,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5878,2938,0,0,0,0,0,37,0,2938,35,44,0,0,0,2938,11754,17
get public account,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37810,0,0,0,0,0,0,37,0,18904,35,44,0,0,0,18904,75618,32
borrow array from storage + copy array from storage and save a duplicate,0,37,0,3401,0,0,1464,0,36600,0,0,1585,0,0,0,0,0,40912,0,0,0,0,0,0,37,0,5460,35,44,1608,0,0,15192,61564,52
get public account + call empty contract function,0,37,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,13376,0,0,0,0,0,0,37,0,6686,35,44,0,0,0,6686,26748,10
create new account and deploy contract + get signer address,0,118,0,97470,0,0,90,0,1665,0,10080,3870,45,90,0,45,0,12641,90,0,0,45,0,0,118,0,135,65,74,7425,0,0,6296,19072,26
get account and get storage used + call empty contract function,0,37,0,223,3199,0,0,0,0,0,0,0,0,0,0,0,0,34206,0,0,0,0,0,0,37,0,17101,35,44,0,0,0,17101,68408,29
get account and get available balance + load and save empty string on signers address,0,37,1421,3882086,1421,0,0,0,0,0,0,1271,0,0,0,0,0,41840,0,0,0,0,0,0,37,0,28838,35,9991,1286,0,0,7314,77992,211
copy array from storage,0,37,0,1827,0,0,0,0,43000,0,0,0,0,0,0,0,0,64502,0,0,0,0,0,0,37,0,4300,35,44,0,0,0,25800,94602,51
transfer tokens,3591,37,0,1913,0,0,0,1197,0,0,222642,67,0,2394,0,0,0,27533,0,0,0,3591,0,0,37,0,13167,35,44,122,0,1197,1197,41897,80
decode hex + convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16268,3517,0,0,0,0,0,37,0,8132,35,44,0,0,0,8132,32532,21
create and destroy EVM bridged account + add and remove key to/from account,20894,37,0,84233,0,0,0,10447,664853,0,224551,0,0,1042,0,0,0,53802,11489,0,0,10447,521,521,37,0,32904,35,44,83576,0,10447,10968,97674,212
emit event,0,37,0,223,0,0,0,0,0,0,109269,0,0,1917,0,0,0,5753,0,0,0,1917,0,0,37,0,3834,35,44,0,0,0,1917,11504,11
mint NFT + transfer tokens,10107,37,0,2166,0,0,2028,1390,0,0,258540,281116,0,2780,0,0,0,45827,0,0,0,6149,0,0,37,0,23206,35,44,398037,0,3369,3369,72402,122
create new account and deploy contract,0,368,0,636804,0,0,588,0,10878,0,65856,25284,294,588,0,294,0,884,588,0,0,294,0,0,368,0,882,69,78,48509,0,0,294,2060,164
borrow array from storage,0,37,0,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,13757,0,0,0,0,0,0,37,0,917,35,44,0,0,0,5502,20176,15
get account and get balance + call empty contract function,0,74,0,2533037,0,0,0,0,0,0,0,0,0,0,936,0,0,14444,0,0,0,0,0,0,74,0,7220,69,8502,0,0,0,5348,27012,187
create new account and deploy contract + borrow array from storage,0,812,0,1602542,0,0,1478,0,27343,0,165536,63554,739,1478,0,739,0,137701,1478,0,0,739,0,0,812,0,11249,65,74,121932,0,0,54931,203881,536
get signer address + get signer vault,0,37,0,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,24036,0,0,0,0,0,0,37,0,3035,35,44,0,0,0,12016,39087,28
load and save empty string on signers address,0,37,0,1294,0,0,0,0,0,0,0,1271,0,0,0,0,0,119495,0,0,0,0,0,0,37,0,79662,35,44,1286,0,0,39831,238988,123
add and remove key to/from account + get signer vault,0,37,0,1457,0,0,0,0,167754,0,990438,0,0,4596,0,0,0,11846,4596,0,0,0,2298,2298,37,0,9368,35,44,0,0,0,4772,25986,234
reference tx,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,0,0,0,0,0,0,37,0,0,35,44,0,0,0,860,1722,5
get public account + load and save long string on signers address,0,37,0,1335,0,0,0,0,0,0,0,1312,0,0,0,0,0,12594,0,0,0,0,0,0,37,0,8154,35,44,1327,0,0,4436,25184,13
copy array from storage and save a duplicate + add key to account,0,37,0,3360,0,0,4404,0,253910,0,419610,1585,0,1970,0,0,0,78812,1970,0,0,0,1970,0,37,0,17152,35,44,1608,0,0,28394,124358,148
transfer tokens to EVM address + copy array from storage and save a duplicate,3640,37,0,771684,0,198246,10103,1,867407,0,1589756,1585,0,3638,0,0,38199000,179033,1820,0,0,1820,0,0,37,0,39407,35,44,645542,0,1,60618,279058,488
convert int to string and concatenate it + load and save long string on signers address,0,37,0,1273,0,0,0,0,0,0,0,1312,0,0,0,0,0,333341,0,0,0,0,0,0,37,0,278022,35,44,1327,0,0,139011,750374,473
create new account + get signer vault,0,73,0,1457,0,0,0,0,0,0,57090,0,1038,1038,0,0,0,22916,0,0,0,0,0,0,73,0,11456,65,74,0,0,0,11456,45828,697
convert int to string and concatenate it,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24708,0,0,0,0,0,0,37,0,24706,35,44,0,0,0,12353,61767,23
get account and get available balance + get signer vault,0,37,1481,3985306,1481,0,0,0,0,0,0,0,0,0,0,0,0,50155,0,0,0,0,0,0,37,0,30259,35,10411,0,0,0,13968,94382,244
decode hex + get account and get storage capacity,0,37,0,6290833,0,0,0,0,0,0,0,0,0,0,0,0,0,28525,3654,0,2357,0,0,0,37,0,20153,35,16543,0,0,0,6011,54689,767
transfer tokens to EVM address + copy array from storage,1952,37,0,413983,0,106258,0,1,357556,0,852116,0,0,1950,0,0,20475000,45876,976,0,0,976,0,0,37,0,7676,35,44,345158,0,1,16788,70340,158
mint NFT + get signer vault,17097,37,0,4625,0,0,5846,0,0,0,0,813125,0,0,0,0,0,55943,0,0,0,5699,0,0,37,0,30819,35,44,1149471,0,5699,13722,100484,136
reference tx + get signer vault,0,37,0,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,4172,0,0,0,0,0,0,37,0,1971,35,44,0,0,0,2197,8340,11
borrow array from storage,0,37,0,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,103217,0,0,0,0,0,0,37,0,6881,35,44,0,0,0,41286,151384,119
mint NFT + get signer vault,8808,37,0,4471,0,0,3011,0,0,0,0,420141,0,0,0,0,0,30904,0,0,0,2936,0,0,37,0,16918,35,44,593470,0,2936,8110,55932,113
get public account + get account and get storage used,0,37,0,0,2861,0,0,0,0,0,0,0,0,0,0,0,0,31664,0,0,0,0,0,0,37,0,15830,35,44,0,0,0,15830,63324,25
get account and get storage capacity,0,37,0,1223950,0,0,0,0,0,0,0,0,0,0,0,0,0,4097,0,0,455,0,0,0,37,0,3185,35,3229,0,0,0,455,7737,81
get account and get storage used + transfer tokens,4536,37,0,1913,3937,0,0,1512,0,0,281232,67,0,3024,0,0,0,42654,0,0,0,4536,0,0,37,0,20569,35,44,122,0,1512,5449,68672,127
load and save empty string on signers address,0,37,0,1294,0,0,0,0,0,0,0,1271,0,0,0,0,0,7661,0,0,0,0,0,0,37,0,5106,35,44,1286,0,0,2553,15320,13
get account and get storage capacity,0,37,0,7709540,0,0,0,0,0,0,0,0,0,0,0,0,0,25796,0,0,2866,0,0,0,37,0,20062,35,20106,0,0,0,2866,48724,357
load and save empty string on signers address + get public account,0,37,0,1294,0,0,0,0,0,0,0,1271,0,0,0,0,0,10981,0,0,0,0,0,0,37,0,6420,35,44,1286,0,0,4557,21958,20
copy array from storage and save a duplicate + reference tx,0,37,0,3401,0,0,3524,0,88100,0,0,1585,0,0,0,0,0,75997,0,0,0,0,0,0,37,0,10572,35,44,1608,0,0,37229,123798,85
mint NFT + get signer vault,1713,37,0,5875,0,0,587,0,0,0,0,86625,0,0,0,0,0,34971,0,0,0,571,0,0,37,0,17769,35,44,120419,0,571,16056,68796,66
create new account + load and save empty string on signers address,0,73,0,1335,0,0,0,0,0,0,13365,1271,243,243,0,0,0,51991,0,0,0,0,0,0,73,0,34577,65,74,1286,0,0,17410,103978,144
copy array from storage + create and destroy EVM bridged account,10884,37,0,46061,0,0,0,5442,442840,0,0,0,0,0,0,0,0,201694,5442,0,0,5442,0,0,37,0,27958,35,44,43536,0,5442,75234,304886,209
load and save empty string on signers address + decode hex,0,37,0,1294,0,0,0,0,0,0,0,1271,0,0,0,0,0,27927,8779,0,0,0,0,0,37,0,15689,35,44,1286,0,0,12234,55850,77
get signer vault + call empty contract function,0,37,0,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,67104,0,0,0,0,0,0,37,0,33550,35,44,0,0,0,33550,134204,74
reference tx + copy array from storage and save a duplicate,0,37,0,3360,0,0,2293,0,57325,0,0,1585,0,0,0,0,0,39184,0,0,0,0,0,0,37,0,6879,35,44,1608,0,0,13957,60020,57
