tx,GetAccountAvailableBalance,GetBlockAtHeight,RevokeEncodedAccountKey,AddEncodedAccountKey,CreateCompositeValue,CreateAccount,SetValue,GetStorageUsed,GenerateUUID,FunctionInvocation,TransferArrayValue,GetOrLoadProgram,UpdateAccountContractCode,Statement,RLPDecoding,DestroyCompositeValue,GetStorageCapacity,GetAccountBalance,GetAccountContractCode,ResolveLocation,GetCurrentBlockHeight,CreateDictionaryValue,TransferCompositeValue,TransferDictionaryValue,AllocateStorageIndex,Loop,CreateArrayValue,GetCode,EmitEvent,EVMGasUsage,GetValue,EncodeValue,EncodeEvent,estimated,ms
get signer vault,0,0,0,0,0,0,0,0,0,14787,0,44,0,29576,0,0,0,0,37,35,0,0,0,0,0,14787,0,37,0,0,1416,0,0,59150,47
load and save empty string on signers address,0,0,0,0,0,0,1286,0,0,22342,0,44,0,33515,0,0,0,0,37,35,0,0,0,0,0,11171,0,37,0,0,1294,1271,0,67028,38
get signer vault + call empty contract function,0,0,0,0,0,0,0,0,0,14391,0,44,0,28786,0,0,0,0,37,35,0,0,0,0,0,14391,0,37,0,0,1680,0,0,57568,56
borrow array from storage,0,0,0,0,0,0,0,0,0,5776,0,44,0,86642,0,0,0,0,37,35,0,0,0,0,0,34656,0,37,0,0,1868,0,0,127074,104
load and save empty string on signers address + get public account,0,0,0,0,0,0,1286,0,0,36929,0,44,0,56833,0,0,0,0,37,35,0,0,0,0,0,19900,0,37,0,0,1294,1271,0,113662,73
get signer receiver + get account and get balance,0,0,0,0,0,0,0,0,0,10305,0,18006,0,14842,0,0,0,1992,74,69,0,0,0,0,0,3435,0,74,0,0,5392265,0,0,28582,282
load and save empty string on signers address + get public account,0,0,0,0,0,0,1286,0,0,63301,0,44,0,106842,0,0,0,0,37,35,0,0,0,0,0,43537,0,37,0,0,1335,1271,0,213680,91
get signer vault + create and destroy EVM bridged account,0,0,0,0,3972,0,31776,0,3972,19830,238320,44,0,35692,0,3972,0,0,37,35,0,0,7944,0,0,11886,3972,37,0,0,33849,0,0,67408,216
convert int to string and concatenate it + get account and get storage capacity,0,0,0,0,0,0,0,0,0,3961,0,499,0,4095,0,0,65,0,37,35,0,0,0,0,0,1818,0,37,0,0,177515,0,0,9874,11
get signer vault + borrow array from storage,0,0,0,0,0,0,0,0,0,18334,0,44,0,77713,0,0,0,0,37,35,0,0,0,0,0,34119,0,37,0,0,1990,0,0,130166,102
create and destroy EVM bridged account + create new account,0,0,0,0,12167,299,97336,0,12167,36800,730020,74,0,61437,0,12167,0,0,73,65,0,0,24334,0,0,12466,12167,73,16445,0,97993,0,299,110703,903
borrow array from storage,0,0,0,0,0,0,0,0,0,7573,0,44,0,113597,0,0,0,0,37,35,0,0,0,0,0,45438,0,37,0,0,1827,0,0,166608,160
get account and get available balance + get account and get balance,1462,0,0,0,0,0,0,1462,0,21072,0,20896,0,31914,0,0,0,1176,74,69,0,0,0,0,0,2638,0,74,0,0,7115036,0,0,55624,374
create new account and deploy contract,0,0,0,0,618,618,101968,0,0,1854,22866,74,618,1856,0,0,0,0,691,65,0,0,0,0,1236,618,1236,691,138432,0,1338588,53148,1236,4328,339
create and destroy EVM bridged account + get account and get storage used,0,0,0,0,765,0,6120,532,765,2827,45900,44,0,4893,0,765,0,0,37,35,0,0,1530,0,0,1297,765,37,0,0,6777,0,0,9017,73
reference tx + add and remove key to/from account,0,0,1403,1403,0,0,0,0,0,4209,102419,44,0,18449,0,0,0,0,37,35,0,0,0,0,0,15639,2806,37,604693,0,0,0,2806,38297,66
create and destroy EVM bridged account,0,0,0,0,5543,0,44344,0,5543,16629,332580,44,0,27717,0,5543,0,0,37,35,0,0,11086,0,0,5543,5543,37,0,0,45001,0,0,49889,99
get signer receiver + get account and get storage used,0,0,0,0,0,0,0,22916,0,42740,0,44,0,59052,0,0,0,0,37,35,0,0,0,0,0,29524,0,37,0,0,1913,0,0,131316,107
load and save long string on signers address + add key to account,0,0,0,279,0,0,1327,0,0,3624,20367,44,0,5161,0,0,0,0,37,35,0,0,0,0,0,1812,279,37,59427,0,1294,1312,279,10597,12
reference tx + decode hex,0,0,0,0,0,0,0,0,0,10390,0,44,0,31083,0,0,0,0,37,35,0,0,0,0,0,20689,10390,37,0,0,0,0,0,62162,77
load and save empty string on signers address + get signer address,0,0,0,0,0,0,1286,0,0,23634,0,44,0,60415,0,0,0,0,37,35,0,0,0,0,0,24297,0,37,0,0,1335,1271,0,108346,46
create new account,0,0,0,0,0,243,0,0,0,243,0,74,0,488,0,0,0,0,73,65,0,0,0,0,0,243,0,73,13365,0,0,0,243,974,97
get signer address + transfer tokens to EVM address,0,0,0,0,162,0,57002,0,1,808,54472,44,0,58832,17546,1,0,0,37,35,0,0,324,0,0,29091,162,37,140708,3381000,68607,0,322,88731,39
get signer receiver + decode hex,0,0,0,0,0,0,0,0,0,23095,0,44,0,37690,0,0,0,0,37,35,0,0,0,0,0,18843,16717,37,0,0,1954,0,0,79628,81
create new account and deploy contract + create and destroy EVM bridged account,0,0,0,0,7423,625,157506,0,6798,22269,431005,74,625,35869,0,6798,0,0,698,65,0,0,13596,0,1250,7423,8048,698,140000,0,1408791,53750,1250,65561,469
get signer receiver + add key to account,0,0,0,5879,0,0,0,0,0,24409,429167,44,0,20196,0,0,0,0,37,35,0,0,0,0,0,10096,5879,37,1252227,0,1913,0,5879,54701,192
add key to account + get account and get storage used,0,0,0,8407,0,0,0,18670,0,35484,613711,44,0,54158,0,0,0,0,37,35,0,0,0,0,0,27077,8407,37,1790691,0,0,0,8407,116719,10364
create and destroy EVM bridged account + reference tx,0,0,0,0,3482,0,27856,0,3482,10446,208920,44,0,20393,0,3482,0,0,37,35,0,0,6964,0,0,6461,3482,37,0,0,28513,0,0,37300,85
get account and get balance,0,0,0,0,0,0,0,0,0,489,0,1545,0,980,0,0,0,163,74,69,0,0,0,0,0,163,0,74,0,0,447761,0,0,1632,26
add key to account + borrow array from storage,0,0,0,1103,0,0,0,0,0,16936,80519,44,0,223160,0,0,0,0,37,35,0,0,0,0,0,89483,1103,37,234939,0,1868,0,1103,329579,379
copy array from storage and save a duplicate + create new account and deploy contract,0,0,0,0,291,291,49621,0,0,14139,121317,74,291,76051,0,0,0,0,364,65,0,0,0,0,5004,26823,582,364,65184,0,633707,26611,582,117013,464
load and save long string on signers address + decode hex,0,0,0,0,0,0,1327,0,0,45872,0,44,0,70949,0,0,0,0,37,35,0,0,0,0,0,25073,4274,37,0,0,1335,1312,0,141894,79
copy array from storage + mint NFT,0,0,0,0,10443,0,2103353,0,10443,55816,140440,44,0,283765,0,0,0,0,37,35,0,0,31329,0,10712,94707,0,37,0,0,4737,1487111,0,434288,380
