load and save long string on signers address + float,79782,231,0,35,9,81,16,0,0,10,0,1895,2,16,2,26,26,0,1,4,23173,0,23175,4,71,16,0,2,2330,14,16,68,90,1,122,212,2,0,463984,9,0,5515,0,4,31,0,17,0,0,0,0,0,0,0,12,53,285,46,4,0,1841,1,0,229069,55,16,5,56620,0,0,10378,156,57,46370,0,12,0,5105552,0,89,4,53,1060,0,0,0,12,0,1358424,1216,49,46348,278724438,249124712
character + address,55963,231,0,35,9,81,16,1,0,10,0,1894,2,16,2,26,27,0,1,4,0,0,2,4,68,14,0,2,2170,12,16,66,90,25817,120,213,2,0,46355,9,0,5489,0,4,31,30141,17,0,0,0,0,0,0,0,12,52,281,46,4,0,1834,1,0,142057,55,16,5,55976,0,0,10331,157,58,24,0,10,0,3581264,0,89,4,53,1052,0,0,0,14,0,0,1205,49,2,184525229,103011576
bool + emit event,153164,231,0,34,9,81,16,0,0,10,0,1891,2,16,2,26,26,0,1,4,0,0,8866,4,68,15,0,2,2246,12,16,67,90,3,121,211,8868,0,46403,9,0,5484,0,10,31,0,17,1,0,0,0,0,0,0,12,53,282,46,4,0,1831,1,0,153160,55,16,5,81030,2,0,10320,155,57,27,0,10,0,5184720,0,89,4,53,1051,0,0,8864,12,0,16,1204,49,2,266778818,77522664
character + float,97389,231,0,35,9,81,16,1,0,10,0,1895,2,16,2,26,27,0,1,4,0,0,2,4,68,14,0,2,2250,12,16,66,90,1,120,212,2,0,46353,9,0,5490,0,4,31,35823,17,0,0,0,0,0,0,0,12,53,281,46,4,0,1834,1,0,230591,55,16,5,97402,0,0,10333,156,58,24,0,12,0,6232528,0,89,4,53,1051,0,0,0,13,0,1477440,1205,49,2,330014715,124381160
get public account + get account and get available balance,26697,35431,0,5666,1065,13457,2480,0,0,1770,0,294398,2,2832,2,3194,3897,0,1,708,176,0,2,708,10630,2128,352,2,375190,2124,2480,10276,13466,1409,18075,33299,27221,0,7846162,1065,528,848348,0,54794,3199,0,3537,1056,0,176,528,0,0,0,2124,8148,42877,7086,708,0,290120,1057,0,54792,7447,2480,357,5475,0,528,1602942,24091,7096,31291,0,1770,0,1666000,176,13465,708,7445,162271,0,0,528,364,0,33792,181078,7441,530,363220673,75474768
mint NFT + emit event,11634,231,1,34,9,81,16,0,0,10,0,1886,2,16,2,26,25,0,1,4,0,0,14510,4,68,16,0,2,2246,12,16,68,90,4,122,211,15952,0,82427,9,0,5480,0,12970,31,0,17,2,43212240,0,0,0,0,1440,12,52,283,46,4,0,1829,1442,0,20270,55,16,5,17407,0,0,10310,155,56,1467,0,10,0,767248,0,89,4,53,1052,0,0,11628,12,0,34576,1205,49,2,44307660531,106005272
create new account and deploy contract + create new account,89,46434,0,7428,1398,17637,3250,0,0,2320,0,385829,2,3712,2,4184,5109,0,1,928,0,0,2,928,13932,2787,0,2,482280,2784,3250,13468,17646,81,23685,43639,91,0,10066515,1398,0,1111593,0,345,4189,0,17,3,318,0,0,0,0,9,2784,10678,56192,9289,928,0,380233,1,0,82,9757,3250,467,99,0,0,2100553,31571,9298,282,0,2320,0,4944,0,17645,928,9755,212671,0,0,0,474,0,111,237311,9751,5,278879641,79856064
get public account + get account and get storage capacity,23282,46431,0,7426,1395,17637,3250,0,0,2320,0,385808,2,3712,2,4184,5107,0,1,928,231,0,2,928,13930,2788,462,2,482415,2784,3250,13466,17646,1849,23685,43639,24433,0,10283596,1395,924,1111743,0,49328,4189,0,4637,1386,0,231,924,0,0,0,2784,10678,56187,9286,928,0,380210,1849,0,46323,9757,3250,467,4639,0,924,2100637,31571,9296,29306,0,2320,0,1445328,231,17645,928,9755,212651,0,0,231,474,0,18480,237288,9751,695,411184398,136610344
copy array from storage and save a duplicate,8561,231,2,34,9,81,16,1,0,10,0,1904,2,16,4,26,28,0,1,4,2444,0,1224,4,72,16,0,2,3297,15,16,69,90,1,125,214,2,0,67785,9,0,5568,0,4,31,0,17,0,48880,0,0,0,1,9776,12,53,292,46,4,0,1855,1,0,19553,55,16,5,3685,0,0,10474,158,59,3690,0,10,0,821192,0,89,4,53,1079,0,0,0,12,0,16,1237,49,3668,93977220,49959832
array append + load and save long string on signers address,21751,231,0,35,9,81,16,0,0,10,0,1893,4,16,2,26,26,0,1,4,16742,0,21745,4,72,16,0,2,2330,14,16,69,90,1,123,212,2,0,348224,9,0,5521,0,4,31,0,17,0,15003,0,0,0,0,5001,12,52,285,46,4,0,1842,1,0,113718,55,16,5,5020,0,0,10385,156,57,38509,0,10,0,1471584,0,89,4,53,1062,0,0,0,14,0,0,1220,49,33486,97553345,80156056
add and remove key to/from account + get signer receiver,11842,231,0,35,9,81,16,0,0,10,0,1892,2,16,2,26,26,0,1,5,11119,0,2,5,72,16,2,2,2436,13,16,72,90,6,126,212,44478,0,247329,9,11121,5532,0,88956,31,0,17,5,158015,11119,11121,0,1,2145,12,52,285,46,4,0,1843,22241,0,57027,55,16,5,11138,0,11121,10399,156,57,22977,0,10,0,763112,11119,89,4,53,1065,0,0,0,13,0,52235,1227,49,11123,309484072,220501696
,6,1,0,0,1,2,0,0,0,0,0,16,0,0,2,0,0,0,1,0,0,0,3,0,3,2,0,0,505,2,0,2,3,1,2,3,2,0,1549,1,0,85,0,4,0,0,2,0,15,0,0,0,0,3,0,0,5,0,0,0,19,1,0,13,2,0,0,5,0,0,144,3,0,5,0,0,0,0,0,2,0,2,20,1,0,0,0,0,0,31,2,4,112511,1699800
character + transfer tokens,30914,231,0,35,9,81,16,1,0,10,0,1903,2,16,2,26,28,0,1,6,8090,0,3238,5,73,4869,2,2,2291,14,16,72,90,7,126,214,12138,0,131475,9,811,5577,0,19421,31,25243,17,6,0,1618,1620,0,2,0,12,52,289,46,4,0,1857,6475,0,92720,55,17,5,44678,0,811,10488,158,59,5687,0,11,2427,1667344,809,89,4,53,1075,0,1618,1618,13,0,51832,1243,49,1622,112149955,126243400
create new account and deploy contract,71,13453,0,2148,427,5097,940,0,0,670,0,111637,2,1072,2,1214,1478,0,1,268,0,0,2,268,4031,807,0,1,139429,804,940,3897,5106,45,6855,12619,112,0,2920531,427,0,321814,0,334,1217,0,17,22,2332,0,0,0,0,66,804,3086,16255,2708,268,0,110026,1,0,45,2826,940,137,63,0,0,608023,9131,2695,288,0,670,0,1416,0,5105,268,2825,61599,0,0,0,141,0,814,68747,2821,24,83342920,26169752
