tx,2006,2007,2011,1025,2005,2027,2017,2019,1003,2020,2010,2018,1026,2004,1010,2025,2026,2024,1001,2015,2022,1041,2008,2009,1011,1012,1002,1040,estimated,actual
copy array from storage,0,0,8,0,0,0,8,0,14226,4001,0,0,142260,0,0,9,0,0,213392,8,5,0,0,0,0,0,85356,0,312974,383
function + get public account,0,0,8,0,0,0,8,0,46124,2394,0,0,0,0,0,9,0,0,120100,8,5,0,0,0,0,0,60048,0,226272,297
ephemeral ref + add key to account,0,219,8,219,0,0,8,0,438,2394,0,0,15987,219,0,9,0,0,204967,8,5,0,0,0,0,0,68394,0,273799,339
load and save long string on signers address,0,0,8,0,0,0,8,0,35822,3468,0,0,0,0,0,9,1189,0,53735,8,5,0,0,0,0,0,17911,0,107468,108
emit event + get signer receiver,0,550,8,0,0,0,8,0,14324,4276,0,0,0,0,550,9,0,0,10470,8,5,0,0,0,0,0,4958,0,29752,102
get account and get available balance + reference tx,0,0,2216,0,0,0,1848,368,3680,839880,0,0,0,0,0,2217,0,0,93421,2216,741,0,0,368,0,0,89001,0,186102,355
mint NFT + create new account and deploy contract,60,120,1148,120,739,60,368,0,2596,73936,0,0,2220,0,664,1089,129929,0,4412,1148,365,0,604,0,1812,0,664,0,7672,177
call empty contract function,0,0,8,0,0,0,8,0,73634,2615,0,0,0,0,0,9,0,0,147270,8,5,0,0,0,0,0,73634,0,294538,291
address + emit event,0,9471,8,0,0,0,8,0,18942,2615,0,0,0,0,9471,9,0,0,76519,8,5,0,0,0,0,0,33522,0,128983,137
copy array from storage + borrow array from storage,0,0,8,0,0,0,8,0,6269,4001,0,0,47040,0,0,9,0,0,94039,8,5,0,0,0,0,0,37614,0,137922,197
load and save long string on signers address + ephemeral ref,0,0,8,0,0,0,8,0,7356,3468,0,0,0,0,0,9,1189,0,144856,8,5,0,0,0,0,0,48284,0,200496,129
get account and get available balance + create new account,138,138,3782,0,0,0,2348,192,2058,447258,0,0,0,0,0,3783,0,0,2776,3782,1769,0,0,192,0,0,330,0,5164,314
create new account and deploy contract + function,75,150,1508,150,150,75,758,0,225,89012,0,0,2775,0,75,1434,12375,0,100595,1508,755,0,0,0,0,0,50258,0,151078,261
string toLower + address,0,0,8,0,0,0,8,0,10913,2312,0,0,0,0,0,9,0,0,110052,8,5,0,0,0,0,0,55024,0,175989,97
function,0,0,8,0,0,0,8,0,0,2394,0,0,0,0,0,9,0,0,162506,8,5,0,0,0,0,0,81252,0,243758,145
path,0,0,8,0,0,0,8,0,0,2312,0,0,0,0,0,9,0,0,76004,8,5,0,0,0,0,0,38001,0,114005,79
path,0,0,8,0,0,0,8,0,0,2394,0,0,0,0,0,9,0,0,344262,8,5,0,0,0,0,0,172130,0,516392,315
